Name,Probability,Total,Url
★★★★星光精靈,0.0333%,99.71795%,https://cdn.gamerch.com/contents/wiki/2092/entry/KUg8Rkx4.jpg
★★★★邦尼機器人,0.0333%,99.69872%,https://cdn.gamerch.com/contents/wiki/2092/entry/gMSZOM25.jpg
★★★★夜蜘蛛,0.0333%,99.67949%,https://cdn.gamerch.com/contents/wiki/2092/entry/45z0WFog.png
★★★★斯碧亞,0.0667%,99.75000%,https://cdn.gamerch.com/contents/wiki/2092/entry/Yhzn8qmi.jpg
★★★★熔岩獅,0.0667%,99.66026%,https://cdn.gamerch.com/contents/wiki/2092/entry/EtXf3xzV.png
★★★★炎虎,0.0667%,99.62821%,https://cdn.gamerch.com/contents/wiki/2092/entry/CODkcDoE.jpg
★★★★普洛林,0.0667%,99.59615%,https://cdn.gamerch.com/contents/wiki/2092/entry/5sz0C8GO.jpg
★★★★海龍,0.0667%,99.56410%,https://cdn.gamerch.com/contents/wiki/2092/entry/AfTM2txi.png
★★★★神鹿,0.0667%,99.53205%,https://cdn.gamerch.com/contents/wiki/2092/entry/blLvAhFZ.jpg
☆☆☆☆嗚吱猴,0.1842%,99.50000%,https://cdn.gamerch.com/contents/wiki/2092/entry/hE6bIVFc.jpg
☆☆☆☆星蛾,0.1842%,99.31579%,https://cdn.gamerch.com/contents/wiki/2092/entry/jMNpdDCi.jpg
☆☆☆☆鯰魚,0.1842%,99.13158%,https://cdn.gamerch.com/contents/wiki/2092/entry/XhYItqQY.jpg
☆☆☆☆紳士鳥,0.1842%,98.94737%,https://cdn.gamerch.com/contents/wiki/2092/entry/R4g1mebo.png
☆☆☆☆豬布林,0.1842%,98.76316%,https://cdn.gamerch.com/contents/wiki/2092/entry/GukMqLZL.png
☆☆☆☆黑王,0.1842%,98.57895%,https://cdn.gamerch.com/contents/wiki/2092/entry/jfcH5tMA.jpg
☆☆☆☆獨角鬥龍,0.1842%,98.39474%,https://cdn.gamerch.com/contents/wiki/2092/entry/VKii3XVX.png
☆☆☆☆吉魯,0.3684%,98.21053%,https://cdn.gamerch.com/contents/wiki/2092/entry/RC9XIaKU.jpg
☆☆☆☆路奇,0.3684%,97.84211%,https://cdn.gamerch.com/contents/wiki/2092/entry/Yhnyx04x.png
☆☆☆☆海獺君,0.3684%,97.47368%,https://cdn.gamerch.com/contents/wiki/2092/entry/7VKtzFUf.png
☆☆☆☆水蠑螈,0.3684%,97.10526%,https://cdn.gamerch.com/contents/wiki/2092/entry/uxeJ9rY4.png
☆☆☆☆歐多羅奇諾,0.3684%,96.73684%,https://cdn.gamerch.com/contents/wiki/2092/entry/2gpI3cSO.png
☆☆☆☆圈圈銜尾蛇,0.3684%,96.36842%,https://cdn.gamerch.com/contents/wiki/2092/entry/Zto5b0fs.png
☆☆☆向日葵蜂,2.5714%,96.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/8rP0wbwP.jpg
☆☆☆英雄蝙蝠,2.5714%,93.42857%,https://cdn.gamerch.com/contents/wiki/2092/entry/NoJVCa6y.png
☆☆☆紐羅莉娜,5.1429%,90.85714%,https://cdn.gamerch.com/contents/wiki/2092/entry/d1lFvkUb.png
☆☆☆寶貝龍,5.1429%,85.71429%,https://cdn.gamerch.com/contents/wiki/2092/entry/FmfsvJ7Q.png
☆☆☆鯨魚王,5.1429%,80.57143%,https://cdn.gamerch.com/contents/wiki/2092/entry/fVXpaXKs.png
☆☆☆咕咕王,5.1429%,75.42857%,https://cdn.gamerch.com/contents/wiki/2092/entry/V1nc0HS2.png
☆☆☆木石怪,5.1429%,70.28571%,https://cdn.gamerch.com/contents/wiki/2092/entry/rVxbeiNW.png
☆☆☆烏嘎烏嘎,5.1429%,65.14286%,https://cdn.gamerch.com/contents/wiki/2092/entry/10iaDIhk.png
☆☆轟轟隆,10.0000%,60.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/xwjmhFYc.png
☆☆骸骨魯,10.0000%,50.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/yWJcVbyG.png
☆☆貪吃龍,10.0000%,40.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/FFGCiEPS.png
☆☆魟魚,10.0000%,30.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/hCiFzcD4.png
☆☆石龜,10.0000%,20.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/wEwK9rzs.jpg
☆☆啾嗶,10.0000%,10.00000%,https://cdn.gamerch.com/contents/wiki/2092/entry/fNTzmvkE.png
